05-01,05-02,05-03,05-04,05-05
daily,2025-03-04,8,2,33970676
daily,2025-03-05,31,16,150323785
daily,2025-03-06,41,17,181179723
daily,2025-03-07,24,11,123594674
daily,2025-03-08,30,12,128559291
daily,2025-03-09,35,18,170316096
daily,2025-03-10,24,12,125448909
daily,2025-03-11,23,9,102162448
daily,2025-03-12,36,13,162232165
daily,2025-03-13,41,19,190670404
daily,2025-03-14,29,16,164265132
daily,2025-03-15,30,14,152393413
daily,2025-03-16,38,21,209403184
daily,2025-03-17,25,13,122927460
daily,2025-03-18,25,9,106155257
daily,2025-03-19,36,20,199859822
daily,2025-03-20,29,19,171318833
daily,2025-03-21,37,23,213339825
daily,2025-03-22,33,17,156323051
daily,2025-03-23,35,17,186209287
daily,2025-03-24,32,18,167279378
daily,2025-03-25,27,17,149900360
daily,2025-03-26,28,19,158811777
daily,2025-03-27,33,15,154345163
daily,2025-03-28,25,13,137725072
daily,2025-03-29,44,17,211625393
daily,2025-03-30,38,21,215998376
daily,2025-03-31,26,11,122630392
daily,2025-04-01,33,20,177570133
daily,2025-04-02,31,21,182453778
daily,2025-04-03,41,20,198860902
daily,2025-04-04,31,17,153653012
daily,2025-04-05,41,24,232386661
daily,2025-04-06,34,18,173272381
daily,2025-04-07,31,19,169945885
daily,2025-04-08,27,15,141043096
daily,2025-04-09,33,13,151882802
daily,2025-04-10,38,17,186443945
daily,2025-04-11,43,26,247451964
daily,2025-04-12,42,28,244264546
daily,2025-04-13,28,14,126645312
daily,2025-04-14,26,14,153462523
daily,2025-04-15,28,15,147174053
daily,2025-04-16,32,16,180446555
daily,2025-04-17,32,19,174256460
daily,2025-04-18,44,20,212551304
daily,2025-04-19,27,11,125519146
daily,2025-04-20,50,15,196741984
daily,2025-04-21,39,19,179420431
daily,2025-04-22,33,13,134269914
daily,2025-04-23,40,15,169603538
daily,2025-04-24,25,14,129241326
daily,2025-04-25,24,18,152898887
daily,2025-04-26,29,16,148116691
daily,2025-04-27,42,24,241367313
daily,2025-04-28,37,20,193105898
daily,2025-04-29,26,14,135897626
daily,2025-04-30,35,18,185326886
daily,2025-05-01,28,17,158399284
daily,2025-05-02,33,12,136131250
daily,2025-05-03,25,13,127801809
daily,2025-05-04,29,11,119805901
